SÕNA,NÄIDE,SARNASED,TASE
suurelt,Koprad on suurelt sigima hakanud,"suuresti, suurepäraselt, suuremeelne, suurtükk, suurenema",B2
suurepäraselt,See harjutus tuli sul suurepäraselt välja,"suuresti, teraselt, tavapäraselt, suvaliselt, teadupärast",B1
suuresti,Vanalinnas on autoliiklust suuresti piiratud,"uuesti, suurus, suursaadik, suurtükk, suusk",B2
suusatama,Oskab lapsest saadik suusatada,"unustama, suusatamine, suutma, tasustama, turustama",B1
suuteline,"Mobiliseeriti kõik, kes suutelised relva kandma","tuuline, tõeline, usuline, teine, suvaline",B2
suutma,Lektor suudab kuulajais huvi äratada,"suutmatus, ujutama, uputama, ujuma, suvitama",A2
suvitama,Kus sa sel aastal suvitad,"uitama, upitama, viitama, sülitama, uisutama",B2
sviiter,Kinkisin isale villase ja paksu sviitri,"viiner, viide, viies, viitenumber, viisteist",A2
sõber,Ta on olnud mu parim sõber lasteaiast saadik,"sõel, sõrm, sõbralik, sõbranna, sõbratar",A1
sõbralik,Jalgpallimatš lõppes sõbraliku viigiga 0 : 0,"sõnaliik, sõrmik, sõbranna, sõbratar, sõjaline",A2
sõbranna,Oleme Mariga eluaegsed sõbrannad,"sõbratar, sõna, sõbrapäev, sõnama, sõnnik",A2
sõda,Aastal 1710 kuulutas Türgi Venemaale sõja,"sõdima, sõudma, sõna, süda, sõdalane",A2
sõidutama,"Takso sõidutas meid koju, ukse ette","sõitma, õigustama, sõimama, õhutama, võidutsema",B1
sõitma,Sõidan iga päev bussiga tööle,"võitma, sõlmima, sõltuma, õitsema, võima",A1
sõprus,Meid seob ammune sõprus,"sõrmus, sõpruskond, õppus, vaprus, õpetus",B1
sõudma,Ta sõudis mind üle jõe,"tasuma, tundma, tõdema, tõusma, uskuma",B2
säde,Säraküünla praksuvad sädemed,"säte, sädelema, väide, välde, äärde",B2
särama,Lilleaias peenardel särasid daaliad,"ärkama, tärkama, värbama, äratama, särav",B2
säte,Seadme käsitsi häälestamiseks tuleb kasutada kindlaid sätteid,"sääst, te, vaste, sätendama, sätestama",B2
söödav,Ojasilm ei ole söödav kala,"sööma, söökla, söötma, sööstma, töökoda",B2
sööma,"Söö oma majahütt, kui sa selle eest nii määratut hinda tahad","söötma, sööstma, ööbima, töötama, töötlema",A1
söötma,Ta söötis mul kõhu täis,"töötama, töötlema, tõstma, vestma, ööbima",B1
süda,"Treppidest ülesminek võttis südame kloppima, puperdama","südaöö, sünd, südamik, sündima, südalinn",A2
sügav,Kaev on liiga sügav - ei saa vett kätte,"sügaval, sügavus, sügavale, sügavalt, sügavuti",A2
sügavalt,"Otsige sügavalt veest, siis ehk leiate","sügavuti, vastavalt, sügavus, sült, vaevalt",B1
sügavus,Arheoloogid leidsid umbes meetri sügavusest peitevara,"sügavuti, sügelus, sügis, vastavus, süütus",B1
sügavuti,Professor läheb oma teemasse sügavuti sisse,"sülearvuti, süvitsi, sügis, sümpaatia, sündmustik",B2
sügelema,"Käed sügelevad, võtaks siit midagi, aga ei tohi","süvenema, tegelema, ütlema, sügelus, sünteesima",B1
sümboolne,Täna on sümboolne leinapäev kõigile eestlastele,"sümfoonia, ühepoolne, vasakpoolne, süüdlane, tromboon",B2
sümfoonia,"Beethoveni, Tšaikovski, Tubina sümfooniad","tseremoonia, sünergia, sünniaeg, ühtmoodi, toona",B2
sündima,Aastas sünnib stuudios mitu filmi,"sündimus, tüdima, sünnitama, süvendama, süüdimatu",A1
sündmus,Teatrinädalasse mahtus palju sündmusi,"sündmustik, sündmuskoht, tähtsündmus, tüdimus, ühendus",A2
sündmuskoht,Politsei pöördus avarii sündmuskohale tagasi,"sündmustik, sünnikoht, tähtsündmus, toimumiskoht, ümbruskond",B2
sündroom,"Peaaju traumade korral võivad esineda psüühiline, vegetatiivne ja neuroloogiline sündroom","sünonüüm, süvendama, tähtsündmus, sünergia, süvenema",B2
sünnikoht,Minu sünnikohaks on Tartu linn,"sünnitus, sünnipaik, sünnitama, sünnipäev, üürnik",B1
sünnipäev,Kas sa lähed ka tema sünnipäevale,"sünnipärane, teisipäev, süvenev, sünnitus, süütunne",A1
sünnipärane,On sünnipäralt v sünnipärane venelane,"sünnitama, tõepärane, tavapärane, tunniplaan, ülemäärane",B2
süntees,Teatrikunst on olemuselt kunstide süntees,"sünteesima, tees, süsteem, süžee, sünteetiline",B2
sünteetiline,Sünteetilised materjalid,"süstemaatiline, teoreetiline, temaatiline, süsteemne, tehniline",B2
süsi,Lambitaht oli pikalt söeks põlenud,"üksi, süstima, süvitsi, süüdi, üksik",B2
süstal,Võeti süstlaga põiest uriini,"süstima, süüdistama, süsteem, süttima, süütama",B2
süsteem,Tal oli välja kujunenud töös oma süsteem,"süsteemne, süstima, süžee, süvenema, teema",A2
süžee,"Gravüüri, natüürmordi, eksliibrise süžee","süvenev, süvenema, ühene, süü, süütegu",B2
süvendama,See jutuajamine ainult süvendas tema kahtlusi,"süvenema, ühendama, ülendama, vedama, vahendama",B2
süü,See kõik on minu süü,"süüdi, süütu, süütus, üür, süütama",B1
süüdimatu,Süüdimatu isik ei kuulu kriminaalvastutusele,"süüdistus, süüvima, süüdistama, süütu, süütus",B2
süüdistus,Ta võttis oma süüdistuse kohtus tagasi,"üldistus, süütus, süütu, tüsistus, ühistu",B1
süütama,Süütas keldrisse laskumisel taskulambi,"tüütama, süüvima, vastama, ületama, üritama",B1
šampinjon,"šampinjoni kübar, tupeta jalg","šampoon, tampima, triljon, valimisjaoskond, vampiir",B1
šampoon,"Raviv, toniseeriv šampoon","vasakpoolne, toon, tagapool, tromboon, ülalpool",A2
šotlane,šotlased kuuluvad keldi rahvaste hulka,"tollane, ühtlane, šveitslane, taane, taanlane",B1
šveitslane,Jalgpallimängu võitsid šveitslased,"villane, vilistlane, vaenlane, venelane, väiklane",B1
žest,Pank tegi helde žesti: annetas haiglale suure summa,"test, vest, tekst, žilett, tõesti",B2
žilett,Ajab žiletiga habet,"vilets, tablett, tualett, titt, vile",B1
taamal,Märkasin taamal udus torni,"tabama, tagama, taipama, tallama, teatama",C1
taane,Alusta uuelt realt taandega,"tasane, taevane, taani, tarne, taanlane",B2
tabama,Teda tabas taas rännukirg,"tagama, tabamus, taipama, tallama, tarbima",B2
tabel,Vaatlusandmed kanti tabelisse,"tabloo, tahvel, tablett, tabu, tahe",A2
taevakeha,Loenguid taevakehadest saab kuulata kevadsemestril,"taevane, taevalik, taevas, tavatsema, vaevama",B2
taga,"Meie oleme viimased, taga ei ole enam kedagi tulemas","tagala, tagama, tagant, tagasi, taguma",A1
tagala,Saadeti rindelt tagalasse,"tagama, tagaselja, targalt, taganema, tagapool",B2
tagant,Keegi lähenes talle tagant,"tagatis, targalt, tants, traat, tagantjärgi",B1
tagasi,Ta ütles mulle seda juba paar päeva tagasi,"tagatis, tagasilöök, tagasiside, tarbeasi, tasapisi",A1
taguma,Jõudis kirjutusmasinal pika romaani taguda,"tajuma, taluma, tasuma, trauma, tagurdama",B2
tagurdama,Auto oleks mulle peaaegu otsa tagurdanud,"targutama, tarduma, turvama, tagurpidi, tajuma",B2
tagurpidi,Vähid liiguvad tavaliselt tagurpidi,"talgud, tariif, turvapadi, vastupidi, tantsupidu",B1
tahe,Tegin taheda hommikusöögi: mulle maitseb sink ja rulaad,"tahke, tahvel, tahk, tahm, tase",B1
tahvel,Ta kinkis mulle tahvli sokolaadi,"vahvel, tarve, teave, trahv, vahel",B1
taim,Organismid jagunevad taimedeks,"taimne, tiim, tuim, vaim, taipama",A1
takt,Neljataktilises mootoris vahelduvad neli erisugust takti,"tank, tark, tatt, taktika, taktitu",B2
taktika,"Ära alusta nii hoogsalt, sellise taktikaga pikamaajooksu ei võida","taktikaline, temaatika, taktitu, tankima, taskurätik",B1
tald,Rautatud taldadega kelk,"talgud, talu, talv, vald, taldrik",B1
taldrik,Laual oli kuus taldrikut,"tark, talunik, teadlik, tarvilik, trikk",A1
talitus,Usuasjade talitus,"valitsus, talvituma, talu, taotlus, taristu",B2
tallama,Väikese organisti jalad ei ulatu oreli pedaale tallama,"talletama, taluma, valama, vallutama, teatama",C1
talu,Nägime ilusat talu vanade pihlakate all,"taluma, talv, taru, tasu, tulu",A2
talumatu,Kuubal valitses talumatu niiske kuumus,"tundmatu, tasuma, tavatu, trauma, tulutu",C1
talvituma,Linnud lendavad lõunamaale talvituma,"tarvitama, teavitama, toituma, täituma, tarvitsema",C1
tampima,"Tambib pudrunuiaga kartuleid puruks, pudruks","trampima, tapma, tankima, tarbima, tarnima",C1
tankima,Enne starti peab lennuk tankima,"tarnima, taunima, tantsima, tankla, tarbima",B2
tants,Õhtu sisustati laulu ja tantsuga,"tantsija, tantsima, teatis, tuntus, tantsupidu",A1
taotlema,Ta taotles raha laenuks,"töötlema, vaatlema, toitma, tootma, ütlema",B1
tariif,Öösiti kehtib elektri tarbimisel madalam tariif,"triip, tarvilik, tarvis, triumf, taristu",B2
tarkus,Valis esimese külvipäeva isaisade tarkuse järgi,"taru, tsirkus, tasku, taust, tarvis",A2
tarnima,Kohviube tarnitakse meile Brasiiliast,"taunima, turnima, treenima, tirima, tarvitama",B2
tarvis,"Õpi aga prantsuse keelt, edaspidi võib tarvis tulla","tervis, tervist, tarvitsema, tervitus, tarvitama",B1
taskulamp,Poisikesed vilgutasid taskulampe,"taskuraha, tasuma, tasustama, tasuta, tuulama",B1
tass,"Portselanist, keraamiline tass","trass, tasu, tassima, terrass, tasuv",A1
tavaliselt,Poes käib tavaliselt ema,"turvaliselt, vaevaliselt, vaikselt, vaimselt, väliselt",A2
teadaolev,Teadaolevad faktid ei kinnita seda väidet,"teadaolevalt, teade, teadlane, teadma, teadlik",B2
teadlane,Konverentsil kohtusid mitme eriala teadlased,"tegelane, täidlane, teadma, terane, teadlik",B1
teadlik,On kogu oma teadliku elu vabadust hinnanud,"teaduslik, teadlikkus, teadlikult, teaduslikult, telk",B1
teadlikult,Ta valetas täiesti teadlikult,"teaduslikult, tegelikult, täielikult, teaduslik, tervislikult",B1
teaduslik,Geoloogia võib tulekivide taevast langemisele anda teadusliku seletuse,"teaduslikult, tähenduslik, teadvus, tulemuslik, uuenduslik",B1
teadvus,Idealism absolutiseerib teadvuse loovust ja peab teadvust mateeria suhtes primaarseks,"teravus, teadvustama, usuteadus, tegevus, tihedus",B1
teatejooks,4 × 100 meetri teatejooks,"teatmeteos, tuhatoos, teater, teatis, teiseks",B2
teater,Esinduslik südalinnas asuv teater,"tsenter, teave, teler, teatis, teatud",A1
teenima,Poiss teenis aasta kalalaeval madrusena,"treenima, teenindama, tegema, veenma, venima",B1
teenindama,Külalistel tuli riietehoius ennast ise teenindada,"tervendama, treenima, tõendama, teenindus, tihendama",B1
teenistus,Spetsiaalne Antarktika teenistus Ameerika Ühendriikide valitsuse juures,"teenus, tunnistus, tõestus, unistus, venitus",B2
tegelema,Maarahvas tegeleb põllumajanduse ja loomakasvatusega,"tegema, vedelema, ütlema, tegutsema, tervenema",A2
tegelikult,"Ma tegelikult ei tea, mida sellest arvata","tinglikult, täielikult, tervislikult, tähelepanelikult, ulatuslikult",B1
tegevusetus,Miski ei väsita rohkem kui tegevusetus,"tegevuskoht, tugevus, tõestus, tervitus, tunnetus",B2
tegevuskoht,Kirjameeste Seltsi tegevuskohaks kinnitati Tartu,"tugevus, tegus, toimumiskoht, teleskoop, tugevasti",B2
teguviis,Säärast teguviisi ma heaks ei kiida,"tervis, televiisor, tervist, tuvi, viis",B2
tehas,Isa on juba 25 aastat töötanus suures tehases,"teras, teivas, toekas, tehnika, telekas",A2
tehniline,Tantsija tehnilised oskused jätavad soovida,"tehniliselt, tõeline, teismeline, tõenäoline, teine",A2
tehniliselt,Autod peavad tehniliselt korras olema,"tõeliselt, tõenäoliselt, teoreetiliselt, teisalt, ühiselt",B2
tehnoloogia,Jäätmevabad tehnoloogiad,"teoloogia, terminoloogia, teoloogiline, teooria, tõenäoline",B1
teietama,Ta teietab kõiki kolleege,"tekitama, teritama, tervitama, toimetama, toetama",B2
teinekord,Teinekord jookseb igasuguseid mõtteid peast läbi,"teistkordne, trepikoda, teistkordselt, teiseks, teisene",B2
teisaldama,Detaile teisaldatakse sildkraana abil,"usaldama, teravdama, täheldama, tükeldama, teisalt",C1
teisalt,Teisalt väärib kirjutis ometi suurt tunnustust,"visalt, tõeliselt, test, teisiti, tervist",B2
teisisõnu,"Teadsin juba diagnoosi - leukeemia, teisisõnu verevähk","teismeline, teisiti, teistsugune, televisioon, täiskasvanu",B2
teisiti,Asi tuleb kuidagi teisiti lahendada,"tõesti, teistpidi, test, tervist, testima",B1
teistsugune,"Mulje kujunes hoopis teistsuguseks, kui olime arvanud","ühesugune, tekstuur, tihtilugu, toitumine, üheteistkümnes",B1
tekst,Intervjuu teksti levitas ainult presidendi kantselei,"test, tekstiil, tekstuur, toekas, tõesti",A1
telekanal,Saade tuleb esimeselt telekanalilt,"telekas, ülekaal, tähelepanelik, tulekindel, tulenevalt",B1
televisioon,Raadio ja televisioon,"visioon, traditsioon, vibratsioon, veresoon, versioon",B2
telg,Vankril murdus telg,"telk, toel, velg, trell, tõlge",B2
telk,"Poistele õpetati, kuidas telki püstitada ja lõket teha","tilk, toel, tõlk, täielik, trell",B2
tellimus,Tellimus esitati telefoni teel,"tellis, tollimaks, telliskivi, tulemus, tõdemus",A2
tembeldama,olliametnik tembeldab pabereid,"täheldama, tükeldama, tõmbama, tervendama, tõendama",C1
tempel,Indias on pühakodadeks templid,"tempo, topelt, tervelt, täpselt, tere",B2
temperatuur,Vannivee sobiv temperatuur on 35°,"õhutemperatuur, teostamatu, teretulnud, teravus, traktor",A1
teooria,Professori teooria tõi talle ülemaailmse kuulsuse,"tera, torkima, utoopia, terroriakt, teraapia",B2
teoreetik,"Modernismi, postmodernismi kriitikud ja teoreetikud","teoreetiline, teoreetiliselt, tervik, tervelt, toorelt",B2
teoreetiliselt,Seisukohad tuleb esitada teoreetiliselt,"tõeliselt, tõenäoliselt, turvaliselt, teraselt, tervislikult",B2
teos,See oli kirjaniku parim teos,"test, tops, teostama, teostuma, teras",B1
tera,Paberikäärid on pikkade teradega,"teras, terav, terane, tere, teravus",B1
teraselt,Mis sa must nii teraselt takseerid,"tervelt, teravalt, turvaliselt, tõeliselt, ühtlaselt",B2
terav,Muna tömp ja terav ots,"teravus, terve, trahv, teravalt, teravili",A2
teravalt,"Mõned õied lõhnasid teravalt, mõned imalmagusalt","tervelt, traat, teravili, tugevalt, täiendavalt",B2
teravili,"Eesti peamised teraviljad on oder, rukis, kaer ja nisu","terviklik, tervislik, tervik, tervis, terviklikkus",B2
teravus,Fotol puudub teravus,"tervitus, tervis, terrass, tervist, tugevus",B2
tere,Tüdruk ei tee terest väljagi,"terve, tore, tervelt, trell, trend",A1
terminal,Sadama arenguplaan näeb ette kahe uue terminali ehitamist,"tribunal, terminoloogia, tina, tormine, tseremoonia",B1
terve,Laps sündis terve ja tugevana,"tervelt, tervik, tervis, tervenema, tervendama",A1
tervelt,Vaasid peavad poodidesse jõudma tervelt ja ühes tükis,"tervist, toorelt, tervitus, trell, tugevalt",B1
tervik,Euroopa kui ühtne tervik,"tervis, tõrvik, terviklik, tervislik, tervist",B2
tervishoid,"Hammaste, naha, juuste tervishoid","tervislik, tervist, tervitus, tervislikult, trio",B2
tervitama,Tervita minu poolt ka oma vanemaid,"toetama, turvama, viitama, üritama, tervitus",A2
tervitus,Anna talle edasi minu palavad tervitused,"toetus, üritus, turvalisus, tõestus, venitus",B1
tihane,"Talve tulekul ilmuvad aedadesse, elumajade juurde tihased","vihane, tihe, vihmane, tihke, töine",B1
tihe,Tihe sügisene öö oli laskunud üle heinamaade ja metsade,"tihke, tihedus, tihedalt, tihenema, tihti",B1
tihedalt,Sõbrad külastavad meid tihedalt,"täiendavalt, tihendama, tihedus, tihtipeale, tühjalt",B1
tihenema,Edasi minnes mets muudkui tihenes,"täienema, tipnema, tuginema, tulenema, tüdinema",B2
tiib,"Lennuki hõbedased, alumiiniumist tiivad","tiik, tiim, tiir, triip, tiiger",B1
tiitel,Oluline pole lõpuks teadlase akadeemiline tiitel,"tsikkel, täielik, tilk, till, tint",B1
tikk,Ehitusplatsi piirid märgiti maha tikkudega,"trikk, tikker, tilk, tõik, tükk",B1
tiksuma,Vana seinakell tiksub aeglaselt,"tilkuma, toibuma, toimuma, toituma, toksima",C1
tilkuma,Pärast paduvihma tilkusid kõik puud-põõsad,"vilkuma, toibuma, toimuma, toituma, tukkuma",B2
tint,Kiri on veel tindist märg,"tita, titt, toit, tont, vint",B2
tippima,"Herneid, ube maha tippima","toppima, tirima, õppima, toimima, tuupima",B2
tippkohtumine,India ja Pakistani tippkohtumine,"toitumine, ülekohtune, tormine, tähistamine, toitaine",B2
toetuma,Ratsutaja jalad peavad toetuma jalustele,"toituma, toetus, toitma, tootma, toimetama",B2
toimkond,Iseenesest moodustus laagris toimkond joogivee ja puude hankimiseks,"toimunu, tookord, toon, ülikond, tromboon",B2
toitlustama,Laulupeolisi toitlustati mitmes vahetuses,"täiustama, toituma, toitlustus, tutvustama, ühtlustama",B2
toitma,Jõed toidavad oma vetega järvi ja meresid,"toituma, tootma, täitma, toonitama, toksima",B1
toll,Ta on viis jalga kümme tolli pikk,"tollal, tolm, tool, tollane, torupill",B1
tomat,Kasvatab tomatit kasvuhoones,"tooma, tootma, tont, toppima, torkama",A1
tonn,Toodeti 25 000 tonni piima,"tont, toon, torn, tünn, toonane",A2
tool,Fotograafi juures pandi igaüks oma toolile istuma,"toon, vool, toorelt, tooma, toona",A1
tooma,"Toob pakid koju käe otsas, jalgrattaga, autoga","tootma, toona, tootja, toomingas, toonitama",A1
toonekurg,Toonekurg klõbistab nokka,"toonus, turg, tooraine, torge, troon",B2
tooraine,Keemiatööstuse toorained,"tormine, toores, turvaline, toorelt, tore",B2
toppima,"Topib end sinna, kus teda pole vaja","õppima, torkima, tuupima, utoopia, torisema",B2
tormama,Väljas tuiskab ja tormab,"turvama, tõmbama, tõotama, tärkama, vormima",B2
tormine,Meri muutus tormiseks,"torn, äärmine, töine, uurimine, turvaline",B1
torn,Mürsk tabas tanki torni,"tort, toru, tärn, trend, trenn",B1
traktor,"Väike, 150-hobujõuline traktor","transport, turvakodu, trikoo, töökord, ärakiri",B1
transport,Transpordi kiire areng,"transportima, ühistransport, trass, turist, vastaspool",B1
trell,Isa puuris trelliga augu täitsa õigesse kohta,"trend, trenn, trepp, turse, tõrge",B2
trepp,Torni viib keerutav trepp,"trupp, tupp, täpp, triip, turse",A2
triikima,Püksiviigid on teravaks triigitud,"triikimislaud, trükkima, triikraud, trügima, turnima",B1
trio,"Esines viiulist, tšellost ja klaverist koosnev trio","troon, tross, trots, turri, trükikoda",B2
tross,Köisraudtee trossid,"trots, trotsima, turse, tursk, varss",B2
trotsima,Trotsis kartmatult vaenlasi,"tööotsija, trügima, turnima, tõotama, tüürima",C1
truu,Tõotati teineteisele surmani truuks jääda,"tuju, tulu, tuul, tuum, truudus",B1
trükis,Sellest on juttu ühes 19. sajandi algult pärinevas trükises,"tärklis, trükk, trükkima, trükitäht, turism",B2
trükkima,"Suurte tähtedega trükitud raamat, aabits, tekst","tükkima, tüdima, tukkuma, turnima, tõlkima",B1
tsirkus,Laadal läheme tsirkusse,"tõsidus, tüsistus, vürtsikas, täpsus, töökus",B1
tsükkel,Viiepäevane tsükkel tegi rahast lagedaks,"tükk, tsüklon, tükeldama, äratuskell, täpselt",B2
